alcaldia,categoria_etiqueta,promedio_mensual,total_periodo,meses_observados
IZTAPALAPA,FALSA ALARMA,3.2941176470588234,56,17
BENITO JUAREZ,FALSA ALARMA,2.823529411764706,48,17
TLALPAN,FALSA ALARMA,2.588235294117647,44,17
CUAUHTEMOC,FALSA ALARMA,2.1176470588235294,36,17
ALVARO OBREGON,FALSA ALARMA,1.6470588235294117,28,17
AZCAPOTZALCO,FALSA ALARMA,1.2352941176470589,21,17
VENUSTIANO CARRANZA,FALSA ALARMA,1.1176470588235294,19,17
COYOACAN,FALSA ALARMA,0.9411764705882353,16,17
XOCHIMILCO,FALSA ALARMA,0.7058823529411765,12,17
LA MAGDALENA CONTRERAS,FALSA ALARMA,0.5882352941176471,10,17
IZTACALCO,FALSA ALARMA,0.5294117647058824,9,17
TLAHUAC,FALSA ALARMA,0.47058823529411764,8,17
CUAJIMALPA DE MORELOS,FALSA ALARMA,0.35294117647058826,6,17
MILPA ALTA,FALSA ALARMA,0.29411764705882354,5,17
